".Hagerstown-Martinsburg, MD-WV Metro Area","3,950",-385,"3,105","3,490","4,352",87,"4,265","4,383",-517,"3,902","4,419","4,918",90,"4,828"
".Hammond, LA Metro Area","1,668",246,"1,863","1,617","1,413",27,"1,386","2,060",273,"2,259","1,986","1,774",27,"1,747"
".Hanford-Corcoran, CA Metro Area",816,"1,093","2,176","1,083",-316,-71,-245,957,"1,373","2,718","1,345",-466,-74,-392
".Harrisburg-Carlisle, PA Metro Area","3,944",-431,"6,109","6,540","4,330",390,"3,940","4,593",-431,"7,681","8,112","4,997",395,"4,602"
".Harrisonburg, VA Metro Area",391,143,"1,414","1,271",247,253,-6,253,182,"1,750","1,568",70,257,-187
".Hartford-East Hartford-Middletown, CT Metro Area",401,"-2,085","10,895","12,980","2,289","1,457",832,"-1,625","-2,596","13,674","16,270",792,"1,570",-778
".Hattiesburg, MS Metro Area",791,193,"2,079","1,886",583,46,537,847,240,"2,574","2,334",588,47,541
".Hickory-Lenoir-Morganton, NC Metro Area","1,206","-1,491","3,453","4,944","2,668",78,"2,590","1,165","-1,913","4,318","6,231","3,070",80,"2,990"
".Hilton Head Island-Bluffton, SC Metro Area","5,308",-394,"2,146","2,540","5,757",133,"5,624","6,164",-454,"2,670","3,124","6,699",151,"6,548"
".Hinesville, GA Metro Area","1,356","1,126","1,690",564,237,-25,262,"1,439","1,353","2,084",731,88,-20,108
".Homosassa Springs, FL Metro Area","3,680","-2,204","1,038","3,242","5,977",8,"5,969","4,240","-2,817","1,298","4,115","7,185",9,"7,176"
".Hot Springs, AR Metro Area",168,-627,"1,030","1,657",791,29,762,150,-812,"1,282","2,094",969,29,940
".Houma-Thibodaux, LA Metro Area",-602,-44,"2,391","2,435",-597,75,-672,-925,-46,"2,973","3,019",-920,74,-994
".Houston-The Woodlands-Sugar Land, TX Metro Area","69,094","37,529","90,385","52,856","31,921","12,495","19,426","84,601","47,083","112,367","65,284","37,397","12,997","24,400"
".Huntington-Ashland, WV-KY-OH Metro Area","-2,519","-1,817","3,611","5,428",-751,50,-801,"-3,281","-2,335","4,486","6,821",-973,54,"-1,027"
".Huntsville, AL Metro Area","8,710",-70,"5,109","5,179","8,832",109,"8,723","11,005",-106,"6,365","6,471","11,145",110,"11,035"
".Idaho Falls, ID Metro Area","4,528",921,"2,243","1,322","3,644",40,"3,604","5,357","1,140","2,810","1,670","4,248",40,"4,208"
".Indianapolis-Carmel-Anderson, IN Metro Area","13,104","4,307","25,108","20,801","8,854","2,122","6,732","15,764","5,270","31,254","25,984","10,494","2,280","8,214"
".Iowa City, IA Metro Area","1,744",703,"1,942","1,239","1,007",588,419,"1,820",911,"2,441","1,530",867,611,256
".Ithaca, NY Metro Area",-242,-164,661,825,-98,158,-256,-578,-167,852,"1,019",-435,158,-593
".Jackson, MI Metro Area",-150,-450,"1,575","2,025",269,15,254,-316,-490,"2,012","2,502",148,15,133
".Jackson, MS Metro Area","-3,424",141,"7,037","6,896","-3,571",85,"-3,656","-4,776",55,"8,699","8,644","-4,841",81,"-4,922"
".Jackson, TN Metro Area",416,-460,"2,032","2,492",851,35,816,295,-674,"2,565","3,239",951,35,916
